top - 15:59:45 up 5 days, 22:49,  1 user,  load average: 2.51, 2.21, 2.02
Tasks: 409 total,   1 running, 408 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20.6 us, 12.7 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15638.5 total,    285.3 free,   6413.6 used,   8939.6 buff/cache
MiB Swap:   2048.0 total,   2012.7 free,     35.3 used.   7664.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 266958 aren.ch+  20   0   20612   4580   3676 R  13.6   0.0   0:00.05 top
 152864 root      20   0  712200   9800   7624 S   9.1   0.1   0:04.77 contain+
    218 root      20   0       0      0      0 S   4.5   0.0   0:14.58 jbd2/sd+
   2104 aren.ch+  20   0 4684428 353628  99560 S   4.5   2.2  70:30.13 gnome-s+
   2522 aren.ch+  20   0   13.4g 330296  78540 S   4.5   2.1  39:23.47 teams
   2593 aren.ch+  20   0 9569020 166912  70564 S   4.5   1.0  38:10.79 teams
   2955 aren.ch+  20   0 1131.0g 404188 144240 S   4.5   2.5  19:56.21 chrome
  52312 aren.ch+  20   0   50.5g 232512 118760 S   4.5   1.5   5:12.39 code
 125104 aren.ch+  20   0   44.5g 141948 102648 S   4.5   0.9   0:20.43 code
 151558 root      20   0  831872 114644  65872 S   4.5   0.7   3:02.47 kube-co+
 151811 root      20   0 1118840 346984  78736 S   4.5   2.2   8:01.97 kube-ap+
      1 root      20   0  171648  13416   8452 S   0.0   0.1   0:12.59 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.12 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:06.04 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   1:13.14 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.45 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.65 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   2:24.25 ksoftir+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.60 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:05.13 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0.0   0.0   0:00.58 migrati+
     34 root      20   0       0      0      0 S   0.0   0.0   0:02.58 ksoftir+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kdevtmp+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kauditd
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.15 khungta+
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     43 root      20   0       0      0      0 S   0.0   0.0   0:16.90 kcompac+
     44 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     45 root      39  19       0      0      0 S   0.0   0.0   0:00.50 khugepa+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:10.28 kworker+
    107 root      20   0       0      0      0 S   0.0   0.0   0:08.31 kswapd0
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
